//index 	rate	name	Level	HP	MP	damagemin	damagemax	defence	magicdefence	attackrating	successfulbloking	moverange 	attacktype	attackrange	viewrange	movespeed	attackspeed	regentime	attribute	itemrate	moneyrate	maxItemlevel	skill	"//저항력(독,얼음,번개,불)"	얼음	번개	불
// 1= posion,  17= specjalne dalekosiezne, 11= elecktric quen, 3= blyskawice, 7= zamrazanie, 0= obrazenia reczne, 150= specajlne przypisane, 2= xxxx , 50= od plapek, 24= xxxxx
168	1	"Chaos Castle 7"		77	33000	0	370	410	500	0	700	400	3	0	1	3	400	2000	10	2	200	100	3	0	5	5	5	5
169	1	"Chaos Castle 8"		80	34000	0	400	460	550	0	700	460	4	150	5	7	400	1800	10	2	150	50	4	0	8	8	8	8
170	1	"Chaos Castle 9"		84	35000	0	480	540	550	0	700	460	3	0	1	3	400	2000	10	2	200	100	3	0	6	6	6	6
171	1	"Chaos Castle 10"		86	46000	0	730	780	600	0	900	480	4	150	5	7	400	1800	10	2	150	50	4	0	9	9	9	9
172	1	"Chaos Castle 11"		95	57000	0	740	800	700	0	900	600	3	0	1	3	400	2000	10	2	200	100	3	0	6	6	6	6
173	1	"Chaos Castle 12"		98	68000	0	830	900	750	0	900	720	4	150	5	7	400	1800	10	2	150	50	4	0	9	9	9	9

//Plapki
100	1	"Saw Trap"		80	1000	0	100	110	0	0	400	500	0	0	4	1	500	1000	3	1	200	10	0	0	0	0	0	0
101	1	"Skewer Trap"		80	1000	0	110	130	0	0	400	500	0	0	0	1	500	1000	3	1	200	10	0	0	0	0	0	0
102	1	"Fire Trap"		80	1000	0	130	150	0	0	400	500	0	0	2	1	500	1000	3	1	200	10	0	0	0	0	0	0
103	1	"Meteorite Trap"		90	1000	0	160	190	0	0	450	500	0	50	0	1	500	1000	3	1	200	10	0	0	0	0	0	0
200	1	"Pilka"			12	1000	0	150	200	0	0	60	500	0	0	4	1	500	1000	3	1	200	10	0	0	0	0	0	0

//Npc
226	1	"Trainer"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
229	1	"Marlon"			121	190000	0	15000	25000	2000	0	1000	1000	3	150	5	7	400	1600	150	2	160	14	3	0	9	7	9	9
230	1	"Alex"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
231	1	"Thompson Kenel"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
232	1	"Archangel"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
233	1	"Spirit of Archangel"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
//234	1	"--------"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
235	1	"Priestess Sevina"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
236	1	"Golden Archer"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
237	1	"Charon"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
238	1	"Chaos Goblin"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
239	1	"Stadium Guard"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
240	1	"Baz the Vault Keeper"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
241	1	"Guild Minister"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
242	1	"Elf Lala"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
243	1	"Eo the Craftsman"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
244	1	"Laeticia the Barmaid"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
245	1	"Morgana the Sorceress"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
246	1	"Zienna Weapon Merchant"	20	1000	0	15	30	70	0	100	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
247	1	"Sentinel1"		50	30000	9000	19900	41200	9970	45020	45950	99100	50	0	90	100	800	5500	80	10	600	80	80	80	0	0	0	0
248	1	"Peddler"			20	1000	900	915	30	70	0	100	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
249	1	"Sentinel2"		50	30000	9000	19900	41200	9970	45020	45950	99100	50	0	90	100	800	5500	80	10	600	80	80	80	0	0	0	0
250	1	"Wandering Merchant"	20	1000	0	15	30	70	20	100	30	0	0	0	5	400	1000	10	0	200	10	0	0	0	0	0	0
251	1	"Hanzo the Blacksmith"	20	1000	0	15	30	70	20	100	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
252	1	"--------"			2	50	0	15	30	70	20	10	30	0	0	2	5	400	1000	10	0	200	10	0	0	0	0	0	0
253	1	"Florence Potion Peddler"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
254	1	"Pasi the Mage"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
255	1	"Lumen the Barmaid"	2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	10	0	200	10	0	0	0	0	0	0
end

//New Monster
42 	1 	"Red Dragon" 		120	150000	0	2000	2500	900	0	1450	950	1	150	6	7	400	1500	150	2	120	14	4	0	9	7	9	9
end
